,solar,wind,cons,market,spot
2019-01-01 01:00:00+01:00,0,22648.2641,41422,11.98088293,10.07
2019-01-01 02:00:00+01:00,0,24762.6254,40279,5.776288908,-4.08
2019-01-01 03:00:00+01:00,0,26900.2746,39035,1.898098251,-9.91
2019-01-01 04:00:00+01:00,0,29211.7893,38871,0.605588431,-7.41
2019-01-01 05:00:00+01:00,0,30740.5101,38508,-1.794566262,-12.55
2019-01-01 06:00:00+01:00,0,32169.0857,37630,-3.365706863,-17.25
2019-01-01 07:00:00+01:00,0,33421.561,37987,-2.171153355,-15.07
2019-01-01 08:00:00+01:00,153,33919.282,38653,0.319497392,-4.93
2019-01-01 09:00:00+01:00,1264,33951.9938,41315,0.616599182,-6.33
2019-01-01 10:00:00+01:00,2430,33698.2321,43822,0.289136197,-4.93
2019-01-01 11:00:00+01:00,3162,33758.2184,46357,1.562485227,0.45
2019-01-01 12:00:00+01:00,3317,33943.6635,46788,1.202488973,0.12
2019-01-01 13:00:00+01:00,2879,34369.4952,48005,1.737816854,-0.02
2019-01-01 14:00:00+01:00,1955,35810.3763,44565,2.613515274,0
2019-01-01 15:00:00+01:00,805,37456.5636,44849,3.345221093,-0.03
2019-01-01 16:00:00+01:00,49,38846.375,47018,12.81582066,1.97
2019-01-01 17:00:00+01:00,0,40378.4879,50702,14.81080245,9.06
2019-01-01 18:00:00+01:00,0,41762.4293,51415,9.09067027,0.07
2019-01-01 19:00:00+01:00,0,42762.0644,50411,5.64594869,-4.97
2019-01-01 20:00:00+01:00,0,42936.1774,48034,4.795093309,-6.98
2019-01-01 21:00:00+01:00,0,42361.9983,46216,-0.41653678,-24.93
2019-01-01 22:00:00+01:00,0,41256.5721,45653,12.51671804,-4.87
2019-01-01 23:00:00+01:00,0,39844.7776,42865,0.098553684,-28.93
2019-01-02 00:00:00+01:00,0,35941.6039,40517,-7.478565853,-33.57
2019-01-02 01:00:00+01:00,0,35730.7741,38831,-15.85156913,-45.92
2019-01-02 02:00:00+01:00,0,35436.356,38456,-22.51749986,-48.29
2019-01-02 03:00:00+01:00,0,35099.1442,38601,-33.13331824,-44.99
2019-01-02 04:00:00+01:00,0,34740.5967,40126,-31.07544294,-48.93
2019-01-02 05:00:00+01:00,0,34456.8547,43125,-14.65510188,-29.91
2019-01-02 06:00:00+01:00,0,33971.4802,49383,7.310165098,-0.01
2019-01-02 07:00:00+01:00,0,33318.2401,55409,36.61749711,37.43
2019-01-02 08:00:00+01:00,329,32490.7308,58939,46.73703103,48.06
2019-01-02 09:00:00+01:00,2698,31464.9642,61443,48.06993116,50.74
2019-01-02 10:00:00+01:00,5131,30216.9007,63742,43.47023227,47.57
2019-01-02 11:00:00+01:00,6651,29324.3102,64657,39.77244626,43.94
2019-01-02 12:00:00+01:00,6972,28266.318,64749,36.34162226,40.97
2019-01-02 13:00:00+01:00,6066,27100.4055,63953,38.00933893,44.95
2019-01-02 14:00:00+01:00,4148,25892.9625,62470,41.23646785,49.64
2019-01-02 15:00:00+01:00,1750,24700.8386,61904,38.76878122,53.67
2019-01-02 16:00:00+01:00,108,23556.2984,64129,45.83383918,56.01
2019-01-02 17:00:00+01:00,0,22210.9536,67521,46.28572532,56.95
2019-01-02 18:00:00+01:00,0,20820.6491,67380,47.46773881,62.08
2019-01-02 19:00:00+01:00,0,19358.8749,65886,45.85824661,62.11
2019-01-02 20:00:00+01:00,0,17820.5672,61939,46.61273591,57.99
2019-01-02 21:00:00+01:00,0,16225.4298,58883,46.03756518,55.64
2019-01-02 22:00:00+01:00,0,14610.7446,57164,46.56612945,55.13
2019-01-02 23:00:00+01:00,0,14299.5004,53448,42.67583193,50.76
2019-01-03 00:00:00+01:00,0,14954.5295,50939,47.53939631,42.91
2019-01-03 01:00:00+01:00,0,14906.8183,48914,46.97498131,45.22
2019-01-03 02:00:00+01:00,0,14938.3291,48007,47.1180858,45.63
2019-01-03 03:00:00+01:00,0,15056.771,48132,46.45596377,44
2019-01-03 04:00:00+01:00,0,15246.3742,49140,46.63947028,43.88
2019-01-03 05:00:00+01:00,0,15069.1766,51493,47.55246641,45.92
2019-01-03 06:00:00+01:00,0,14971.3461,56678,52.19376703,51.07
2019-01-03 07:00:00+01:00,0,14925.1372,61966,50.64762686,52.77
2019-01-03 08:00:00+01:00,271,14888.0911,64925,54.08231204,62.89
2019-01-03 09:00:00+01:00,2305,14813.3391,65487,53.35359326,60.03
2019-01-03 10:00:00+01:00,4429,14663.0941,66144,53.32846812,58.19
2019-01-03 11:00:00+01:00,5769,13928.7616,66993,61.37888276,62.99
2019-01-03 12:00:00+01:00,6064,13198.4348,66942,66.69542567,63.52
2019-01-03 13:00:00+01:00,5288,12517.7329,66323,67.0643756,64.67
2019-01-03 14:00:00+01:00,3626,11921.3881,65450,66.18166309,65.24
2019-01-03 15:00:00+01:00,1540,11428.8586,65202,65.72702312,67.76
2019-01-03 16:00:00+01:00,104,11043.6718,66412,66.00638745,68.41
2019-01-03 17:00:00+01:00,0,10383.0184,69141,66.25991164,69.55
2019-01-03 18:00:00+01:00,0,9819.694,68929,65.67894668,67.28
2019-01-03 19:00:00+01:00,0,9341.6613,67538,65.08783487,69.46
2019-01-03 20:00:00+01:00,0,8928.7944,63388,66.48633836,68.38
2019-01-03 21:00:00+01:00,0,8558.6228,60522,61.85387742,61.72
2019-01-03 22:00:00+01:00,0,8214.4988,58546,57.30207353,53.72
2019-01-03 23:00:00+01:00,0,8346.4501,54676,52.72912548,49.98
2019-01-04 00:00:00+01:00,0,9253.7356,51449,51.26892724,50.73
2019-01-04 01:00:00+01:00,0,9872.7582,49334,50.38396984,47.11
2019-01-04 02:00:00+01:00,0,10569.1059,48416,49.78596166,47.07
2019-01-04 03:00:00+01:00,0,11307.8358,48544,47.43146728,46.94
2019-01-04 04:00:00+01:00,0,12048.1254,49519,48.36613378,47
2019-01-04 05:00:00+01:00,0,13206.5601,51776,49.66441935,46.91
2019-01-04 06:00:00+01:00,0,14484.9873,56904,54.60662909,49.59
2019-01-04 07:00:00+01:00,0,15860.0051,62243,53.90446595,55.32
2019-01-04 08:00:00+01:00,114,17287.9009,65469,53.7366263,55.78
2019-01-04 09:00:00+01:00,1101,18717.9237,66388,53.01585741,55.52
2019-01-04 10:00:00+01:00,2153,20109.7454,67069,52.42826768,55.23
2019-01-04 11:00:00+01:00,2818,20658.1866,67749,54.7388325,53.58
2019-01-04 12:00:00+01:00,2971,21194.8262,67517,51.5033965,51.74
2019-01-04 13:00:00+01:00,2600,21746.1767,66103,48.19880884,51.6
2019-01-04 14:00:00+01:00,1797,22344.6439,64619,49.41890495,51.41
2019-01-04 15:00:00+01:00,784,23015.9363,64068,50.80615556,51.69
2019-01-04 16:00:00+01:00,55,23766.5649,64704,52.78979835,52.59
2019-01-04 17:00:00+01:00,0,24092.0907,67329,58.05437795,54.66
2019-01-04 18:00:00+01:00,0,24446.3889,66879,55.50771151,54.1
2019-01-04 19:00:00+01:00,0,24756.5127,65111,49.06550445,51.89
2019-01-04 20:00:00+01:00,0,24957.9444,60767,47.65532879,46.58
2019-01-04 21:00:00+01:00,0,25012.2846,57825,48.37455466,45.43
2019-01-04 22:00:00+01:00,0,24919.6112,56111,48.35805816,43.96
2019-01-04 23:00:00+01:00,0,25452.4996,52530,39.44404847,31.41
2019-01-05 00:00:00+01:00,0,26472.4203,49121,34.82393699,26.9
2019-01-05 01:00:00+01:00,0,26964.6443,46874,31.43840771,25.12
2019-01-05 02:00:00+01:00,0,27516.7733,45495,31.25670694,24.12
2019-01-05 03:00:00+01:00,0,28163.4036,44935,31.2209222,22.04
2019-01-05 04:00:00+01:00,0,28909.248,45087,30.36301066,18.37
